ticker,name,sector,region,style,z_momentum,z_valuation,z_growth,z_quality,z_risk,score_raw,score_adj,score,profile,date,z_efficiency,data_completeness,z_value,z_cashflow,z_dividend,debt_flag,quality_of_earnings,operating_cf_margin,cash_ratio,debt_to_ocf_ratio,cash_conversion_cycle,qoe_flag,cf_quality,mom_6m,revenue_cagr_3y,eps_cagr_3y,pe_ttm,roe,operating_margin,fcf_yield,debt_to_equity
D05.SI, DBS Group Holdings Ltd, Bank,Singapour,,0.899,0.215,-0.601,-0.433,1.888,0.093,0.0,77.2,growth,11-10-25,0.0,54.5,,,,,,,,,,,,,,,,,,,
SPHR,Sphere Entertainment,Entertainment,US,Turnaround,0.61,0.666,-0.217,-0.786,-0.615,-0.082,-14.0,0.0,value,12-10-25,-1.131,65.1,,,,,,,,,,,,,,,,,,,
TSM,TSMC,Semiconductors,Asia,Blend,0.551,0.517,0.168,0.947,0.25,0.571,21.0,100.0,value,12-10-25,0.174,74.4,,,,,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,0.164,-0.146,-0.582,-0.43,0.34,-0.236,-7.0,19.2,value,12-10-25,-0.966,72.1,,,,,,,,,,,,,,,,,,,
UBER,Uber Technologies,Mobility,US,Growth,-0.066,-0.01,0.63,0.168,-0.165,0.12,4.0,51.05,value,12-10-25,0.664,65.1,,,,,,,,,,,,,,,,,,,
GRAB,Grab Holdings,SuperApp,Asia,Growth,0.462,-1.625,-0.827,-0.532,0.962,-0.685,2.0,43.18,value,12-10-25,-0.339,67.4,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis,Healthcare,US,Blend,-0.325,-0.279,-0.232,0.698,-0.475,0.007,9.0,64.76,value,12-10-25,-0.023,74.4,,,,,,,,,,,,,,,,,,,
NU,Nu Holdings,Fintech,LatAm,Growth,0.074,-0.417,0.753,0.085,0.43,-0.006,7.0,59.11,value,12-10-25,-0.236,46.5,,,,,,,,,,,,,,,,,,,
BYD,BYD Company,Automotive,China,Growth,-0.195,0.396,-0.278,0.046,-0.842,0.062,-8.0,17.23,value,12-10-25,0.826,74.4,,,,,,,,,,,,,,,,,,,
PYPL,PayPal,Fintech,US,Blend,0.033,0.485,-0.272,-0.199,0.013,0.058,-5.0,25.63,value,12-10-25,-0.597,67.4,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet,Tech,US,Blend,0.418,-0.286,-0.056,0.729,0.225,0.19,6.0,56.86,value,12-10-25,0.262,69.8,,,,,,,,,,,,,,,,,,,
PEP,PepsiCo,Consumer Defensive,US,Value,0.298,0.063,-0.281,-0.07,-0.738,-0.073,-3.0,30.88,value,12-10-25,-0.029,74.4,,,,,,,,,,,,,,,,,,,
1810.HK,Xiaomi,Consumer Electronics,China,Growth,-0.338,-0.055,-0.017,-0.568,-0.049,-0.256,0.0,38.78,value,12-10-25,-0.511,62.8,,,,,,,,,,,,,,,,,,,
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.406,-0.567,0.734,0.032,-0.299,-0.168,12.0,72.68,value,12-10-25,0.363,72.1,,,,,,,,,,,,,,,,,,,
AMZN,Amazon,Ecommerce,US,Growth,-0.202,-0.072,0.03,0.031,-0.24,-0.051,0.0,39.35,value,12-10-25,0.111,72.1,,,,,,,,,,,,,,,,,,,
MQ,Marqeta,Fintech,US,Growth,-0.671,0.508,-0.701,-0.729,0.803,-0.114,-7.0,19.54,value,12-10-25,-0.336,60.5,,,,,,,,,,,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,-0.294,1.203,0.067,0.65,0.814,0.715,19.0,94.8,value,12-10-25,0.813,74.4,,,,,,,,,,,,,,,,,,,
ATAT,Atour Lifestyle,Hospitality,China,Growth,-0.425,0.443,0.736,0.294,0.146,0.322,17.0,88.08,value,12-10-25,0.652,74.4,,,,,,,,,,,,,,,,,,,
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,0.053,-0.874,0.34,-0.221,-0.104,-0.329,3.0,46.99,value,12-10-25,0.284,69.8,,,,,,,,,,,,,,,,,,,
TKO,TKO Group Holdings,Media & Sports,US,Blend,-0.09,-0.355,0.028,-0.12,-0.282,-0.179,-5.0,24.97,value,12-10-25,0.308,69.8,,,,,,,,,,,,,,,,,,,
D05.SI, DBS Group Holdings Ltd, Bank,Singapour,,0.348,0.51,-0.141,-0.082,0.281,0.134,2.0,45.48,value,12-10-25,-1.369,44.2,,,,,,,,,,,,,,,,,,,
SPHR,Sphere Entertainment,Entertainment,US,Turnaround,0.61,0.666,-0.217,-0.786,-0.615,-0.274,-14.0,0.0,quality,12-10-25,-1.131,65.1,,,,,,,,,,,,,,,,,,,
