ticker,mom_3m,mom_6m,beta_spx,volatility_30d,pe_ttm,fcf_yield,pb_ratio,revenue_yoy,eps_yoy_1y,gross_margin_ttm,oper_margin,roe,roa,roic_ttm,net_debt_ebitda,debt_equity,name,sector,region,style,asof_date
PEP,11.36693953085597,,0.16242325900655796,0.24020155489083567,27.180186491845635,3.4423205276886053,,0.4187119414896614,5.554331055763711,54.432794175349876,13.501111740855388,,7.166927713702596,22.365849198912073,3.532170824251231,,PepsiCo,Consumer Defensive,US,Value,2025-10-11
1810.HK,-9.320561231006764,,0.6032038396044737,0.36891459877387694,79.67803081730632,,,35.0356716978643,35.38135502292309,21.721482003085484,7.485714037720593,,3.53100310788538,-919.1835850476821,-0.08594583420014178,,Xiaomi,Consumer Electronics,China,Growth,2025-10-11
MELI,-11.174812242135946,,0.818825640612482,0.3357538150619617,52.68946135193258,6.827124008770577,,37.53226980869795,93.61702127659575,45.870683930942896,12.304946879150066,,6.231030715066165,39.22877239993301,2.0138279932546372,,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,2025-10-11
AMZN,-2.6500492824709787,,1.380824909157182,0.30171967721113724,32.67444003162035,0.5842083946625544,,10.990892246666135,94.73459326211997,49.60658947701474,11.370996868834304,,10.35269800782796,78.99170581905037,1.0001050006562542,,Amazon,Ecommerce,US,Growth,2025-10-11
MQ,-17.391303654446478,,0.636872526448313,0.4396890064614844,-34.2405798931169,1.3920164432647593,,-25.019706553519754,-112.23840833864067,70.69042807408238,-19.41752135670671,,-5.324265801628533,11.815067997282336,6.686377092215747,,Marqeta,Fintech,US,Growth,2025-10-11
ASR,-0.39207564382791604,,0.6411206784341761,0.2535081615227491,0.9544605615542486,84.40056134225713,,21.343114326880183,32.8088020507829,52.955971810924176,55.04409018054681,,11.810432332427256,-155.33431341168887,-0.508580482089769,,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,2025-10-11
ATAT,-3.2195389584044443,,0.5690035141930009,0.36658945837963747,3.487978014589858,35.29900344976213,,55.336117893675635,73.01370030265747,43.75722975653213,22.229687727168567,,16.53363295141443,-144.21559089859431,-0.5477909809040628,,Atour Lifestyle,Hospitality,China,Growth,2025-10-11
SE,21.030799672926715,,1.398571406675684,0.446066196738957,89.23326959436929,3.9627918673502407,,28.754076224245154,194.78722980773057,44.95801333034319,7.49404285388606,,4.715545071797192,56.619621841108916,1.3952760091138885,,Sea Ltd,Ecommerce/Fintech,Asia,Growth,2025-10-11
TKO,8.59787869966484,,0.8384697178382035,0.31618767608910514,72.84345646548775,4.758513721874374,,67.4265418802031,-95.48074706017985,61.97954680569773,21.63623503510001,,1.374775489425719,26.40836857504653,2.9914759700320035,,TKO Group Holdings,Media & Sports,US,Blend,2025-10-11
D05.SI,18.822779873738437,,0.0359482399395767,0.1582789515394421,13.559897226808596,,,10.34568391775106,12.19439475253428,,,,1.3386451533206003,,,, DBS Group Holdings Ltd, Bank,Singapour,,2025-10-11
